x,y,cls
0.657739808,0.104256731,2
-0.603637066,-0.437626577,2
0.984315995,-0.708402026,1
0.144840465,0.087580958,1
0.381275604,0.725077631,1
-0.405269693,0.553818607,1
0.204296293,-0.781757123,2
0.784556489,0.186056893,1
-0.778074023,-0.50801759,2
0.697329993,0.498661204,1
-0.815099032,-0.324494995,2
0.667785828,0.006676625,1
0.5371053,0.480136151,1
0.545133523,-0.308752322,1
-0.880003029,-0.3892182,2
-0.248722115,-0.621149563,2
0.499996159,-0.701736764,2
0.823934552,0.741234505,1
-0.849869274,0.920169352,1
-0.514949901,0.707783902,1
-0.39276396,0.476403004,1
0.24518048,0.090538519,1
0.955974105,-0.917407131,1
0.419219723,-0.226206187,1
0.125541934,0.87720337,1
0.985596928,0.996457543,1
0.720331007,-0.823200413,2
-0.709884002,-0.180012714,2
-0.034672773,-0.916894387,2
0.878669146,0.447734856,1
0.551849191,-0.23416028,1
-0.719489305,0.451464781,2
-0.28816206,0.741211751,1
0.394677026,0.84954224,1
0.490410374,-0.306917113,1
-0.619940553,-0.326051237,2
-0.692633764,0.056614833,2
-0.293952641,0.475201215,1
-0.396950128,-0.488062076,2
-0.162026876,-0.400258908,2
-0.476075175,-0.273414053,2
0.858882831,-0.572007845,1
0.719612418,-0.161595575,1
-0.198241106,0.783385555,1
-0.950433133,-0.369076623,2
-0.622642258,-0.19348952,2
-0.831184379,0.005118415,2
0.812305906,0.686675788,1
0.470482576,0.699432884,1
-0.839054352,-0.285973338,2
-0.071551195,-0.093989873,2
0.137666349,0.339782601,1
0.636870339,0.674067986,1
-0.970508722,0.154062744,2
0.763805298,-0.13733975,1
-0.195277585,-0.047127382,2
0.966282964,0.369246883,1
-0.709547445,-0.988960646,2
-0.551585036,-0.820252831,2
-0.146221435,-0.11965536,2
-0.981203647,-0.855897815,2
0.613966816,0.962207743,1
-0.200577307,-0.308231143,2
-0.172592444,-0.517921058,2
0.99712575,0.743309318,1
0.890483196,0.849618343,1
-0.292430399,-0.374562417,2
-0.124473767,0.388735947,1
0.407216372,-0.316210348,1
0.981045793,0.971365654,1
-0.083297655,0.064947757,2
-0.986022443,-0.211286184,2
-0.466331846,0.6248699,1
0.172506555,-0.446050846,2
0.923743169,-0.637275157,1
0.765955374,0.079253048,1
-0.710916202,0.580141979,2
0.91233172,0.631117496,1
-0.550789417,0.056583098,2
0.278855115,0.809429082,1
0.122295531,-0.073408707,1
-0.284328232,-0.319159806,2
-0.513449897,-0.523623492,2
0.119713339,-0.155406122,2
-0.342223139,-0.769069838,2
-0.82613846,0.518025933,2
0.683528068,0.952108368,1
-0.01135394,0.445562145,1
-0.018800358,-0.023977623,2
-0.95627699,-0.153598821,2
0.366522459,0.20141952,1
-0.820448115,0.723002763,2
0.682571918,-0.200300669,1
-0.43830933,0.944581395,1
-0.801203636,-0.333141043,2
0.692438927,-0.048356308,1
0.548766324,-0.787313222,2
0.231031101,-0.786264878,2
0.3090301,-0.591158764,2
-0.432234621,0.83533097,1
